Time period;Average power, day;Average power, night;Average power;Temperature
7.1. 06:00:00;;3,130;3,130;
7.1. 07:00:00;3,460;;3,460;
7.1. 08:00:00;2,410;;2,410;
7.1. 09:00:00;3,330;;3,330;
7.1. 10:00:00;2,990;;2,990;
7.1. 11:00:00;2,960;;2,960;
7.1. 12:00:00;3,480;;3,480;
7.1. 13:00:00;4,950;;4,950;
7.1. 14:00:00;4,140;;4,140;
7.1. 15:00:00;3,420;;3,420;
7.1. 16:00:00;4,150;;4,150;
7.1. 17:00:00;3,540;;3,540;
7.1. 18:00:00;2,090;;2,090;
7.1. 19:00:00;2,020;;2,020;
7.1. 20:00:00;2,490;;2,490;
7.1. 21:00:00;2,950;;2,950;
7.1. 22:00:00;;3,280;3,280;
7.1. 23:00:00;;5,660;5,660;
8.1. 00:00:00;;4,420;4,420;-1,8
8.1. 01:00:00;;2,320;2,320;
8.1. 02:00:00;;2,300;2,300;
8.1. 03:00:00;;2,450;2,450;
8.1. 04:00:00;;2,220;2,220;
8.1. 05:00:00;;1,950;1,950;
8.1. 06:00:00;;2,120;2,120;
8.1. 07:00:00;2,950;;2,950;
8.1. 08:00:00;2,700;;2,700;
8.1. 09:00:00;2,490;;2,490;
8.1. 10:00:00;1,900;;1,900;
8.1. 11:00:00;1,970;;1,970;
8.1. 12:00:00;2,500;;2,500;
8.1. 13:00:00;2,850;;2,850;
8.1. 14:00:00;3,170;;3,170;
8.1. 15:00:00;2,000;;2,000;
8.1. 16:00:00;2,490;;2,490;
8.1. 17:00:00;5,160;;5,160;
8.1. 18:00:00;3,160;;3,160;
8.1. 19:00:00;1,790;;1,790;
8.1. 20:00:00;1,720;;1,720;
8.1. 21:00:00;1,590;;1,590;
8.1. 22:00:00;;2,950;2,950;
8.1. 23:00:00;;4,930;4,930;
9.1. 00:00:00;;3,120;3,120;-1
9.1. 01:00:00;;2,700;2,700;
9.1. 02:00:00;;3,840;3,840;
9.1. 03:00:00;;2,890;2,890;
9.1. 04:00:00;;1,870;1,870;
9.1. 05:00:00;;1,690;1,690;
9.1. 06:00:00;;2,300;2,300;
9.1. 07:00:00;3,230;;3,230;
9.1. 08:00:00;2,460;;2,460;
9.1. 09:00:00;1,830;;1,830;
9.1. 10:00:00;1,570;;1,570;
9.1. 11:00:00;2,740;;2,740;
9.1. 12:00:00;3,340;;3,340;
9.1. 13:00:00;2,400;;2,400;
9.1. 14:00:00;1,810;;1,810;
9.1. 15:00:00;2,690;;2,690;
9.1. 16:00:00;2,980;;2,980;
9.1. 17:00:00;2,400;;2,400;
9.1. 18:00:00;1,820;;1,820;
9.1. 19:00:00;1,980;;1,980;
9.1. 20:00:00;2,140;;2,140;
9.1. 21:00:00;2,790;;2,790;
