Time period;Average power, day;Average power, night;Average power;Temperature
1.1. 00:00:00;;3,130;3,130;-0,4
1.1. 01:00:00;;3,260;3,260;
1.1. 02:00:00;;2,260;2,260;
1.1. 03:00:00;;2,860;2,860;
1.1. 04:00:00;;2,730;2,730;
1.1. 05:00:00;;3,330;3,330;
1.1. 06:00:00;;2,740;2,740;
1.1. 07:00:00;1,260;;1,260;
1.1. 08:00:00;1,350;;1,350;
1.1. 09:00:00;2,060;;2,060;
1.1. 10:00:00;2,650;;2,650;
1.1. 11:00:00;3,070;;3,070;
1.1. 12:00:00;2,890;;2,890;
1.1. 13:00:00;2,450;;2,450;
1.1. 14:00:00;1,870;;1,870;
1.1. 15:00:00;2,030;;2,030;
1.1. 16:00:00;2,300;;2,300;
1.1. 17:00:00;2,650;;2,650;
1.1. 18:00:00;2,220;;2,220;
1.1. 19:00:00;2,300;;2,300;
1.1. 20:00:00;2,570;;2,570;
1.1. 21:00:00;2,520;;2,520;
1.1. 22:00:00;;2,320;2,320;
1.1. 23:00:00;;3,910;3,910;
2.1. 00:00:00;;2,890;2,890;1,5
2.1. 01:00:00;;2,660;2,660;
2.1. 02:00:00;;2,490;2,490;
2.1. 03:00:00;;2,220;2,220;
2.1. 04:00:00;;1,920;1,920;
2.1. 05:00:00;;1,900;1,900;
2.1. 06:00:00;;2,130;2,130;
2.1. 07:00:00;1,730;;1,730;
2.1. 08:00:00;1,910;;1,910;
2.1. 09:00:00;1,990;;1,990;
2.1. 10:00:00;2,180;;2,180;
2.1. 11:00:00;3,150;;3,150;
2.1. 12:00:00;1,380;;1,380;
2.1. 13:00:00;1,240;;1,240;
2.1. 14:00:00;1,330;;1,330;
2.1. 15:00:00;1,820;;1,820;
2.1. 16:00:00;3,700;;3,700;
2.1. 17:00:00;2,490;;2,490;
2.1. 18:00:00;2,830;;2,830;
2.1. 19:00:00;2,310;;2,310;
2.1. 20:00:00;2,870;;2,870;
2.1. 21:00:00;1,650;;1,650;
2.1. 22:00:00;;1,740;1,740;
2.1. 23:00:00;;3,250;3,250;
3.1. 00:00:00;;2,390;2,390;1,4
3.1. 01:00:00;;2,600;2,600;
3.1. 02:00:00;;3,010;3,010;
3.1. 03:00:00;;2,730;2,730;
3.1. 04:00:00;;2,740;2,740;
3.1. 05:00:00;;2,040;2,040;
3.1. 06:00:00;;2,650;2,650;
3.1. 07:00:00;1,990;;1,990;
3.1. 08:00:00;1,660;;1,660;
3.1. 09:00:00;1,540;;1,540;
3.1. 10:00:00;2,110;;2,110;
3.1. 11:00:00;2,040;;2,040;
3.1. 12:00:00;1,830;;1,830;
3.1. 13:00:00;2,220;;2,220;
3.1. 14:00:00;2,640;;2,640;
3.1. 15:00:00;1,790;;1,790;
3.1. 16:00:00;2,280;;2,280;
3.1. 17:00:00;1,930;;1,930;
3.1. 18:00:00;1,820;;1,820;
3.1. 19:00:00;2,450;;2,450;
