"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Suhteellisen kosteuden keskiarvo [%]"
"Hattula Lepaa","2025","1","1","00:00","-4.7","86"
"Hattula Lepaa","2025","1","1","01:00","-4.8","87"
"Hattula Lepaa","2025","1","1","02:00","-4.9","87"
"Hattula Lepaa","2025","1","1","03:00","-4.5","86"
"Hattula Lepaa","2025","1","1","04:00","-4.5","87"
"Hattula Lepaa","2025","1","1","05:00","-4.5","88"
"Hattula Lepaa","2025","1","1","06:00","-4.5","88"
"Hattula Lepaa","2025","1","1","07:00","-4.5","89"
"Hattula Lepaa","2025","1","1","08:00","-4.6","93"
