Time period;Average power, day;Average power, night;Average power;Temperature
1.1. 00:00:00;;1,340;1,340;1,3
1.1. 01:00:00;;1,320;1,320;
1.1. 02:00:00;;2,280;2,280;
1.1. 03:00:00;;4,920;4,920;
1.1. 04:00:00;;2,650;2,650;
1.1. 05:00:00;;1,970;1,970;
1.1. 06:00:00;;1,770;1,770;
1.1. 07:00:00;1,330;;1,330;
1.1. 08:00:00;1,290;;1,290;
1.1. 09:00:00;1,380;;1,380;
1.1. 10:00:00;1,190;;1,190;
1.1. 11:00:00;1,160;;1,160;
1.1. 12:00:00;1,160;;1,160;
1.1. 13:00:00;1,140;;1,140;
1.1. 14:00:00;1,620;;1,620;
1.1. 15:00:00;1,810;;1,810;
1.1. 16:00:00;2,210;;2,210;
1.1. 17:00:00;2,030;;2,030;
1.1. 18:00:00;1,250;;1,250;
1.1. 19:00:00;1,590;;1,590;
1.1. 20:00:00;1,490;;1,490;
1.1. 21:00:00;1,270;;1,270;
1.1. 22:00:00;;1,420;1,420;
1.1. 23:00:00;;1,430;1,430;
2.1. 00:00:00;;1,170;1,170;3,2
2.1. 01:00:00;;1,170;1,170;
2.1. 02:00:00;;2,020;2,020;
2.1. 03:00:00;;4,980;4,980;
2.1. 04:00:00;;2,360;2,360;
2.1. 05:00:00;;1,760;1,760;
2.1. 06:00:00;;1,700;1,700;
2.1. 07:00:00;1,160;;1,160;
2.1. 08:00:00;1,150;;1,150;
2.1. 09:00:00;1,130;;1,130;
2.1. 10:00:00;1,120;;1,120;
2.1. 11:00:00;1,120;;1,120;
2.1. 12:00:00;1,110;;1,110;
2.1. 13:00:00;1,110;;1,110;
2.1. 14:00:00;1,480;;1,480;
2.1. 15:00:00;1,590;;1,590;
2.1. 16:00:00;2,110;;2,110;
2.1. 17:00:00;1,970;;1,970;
2.1. 18:00:00;1,180;;1,180;
2.1. 19:00:00;1,310;;1,310;
2.1. 20:00:00;1,380;;1,380;
2.1. 21:00:00;1,110;;1,110;
2.1. 22:00:00;;1,460;1,460;
2.1. 23:00:00;;1,230;1,230;
3.1. 00:00:00;;1,100;1,100;3,3
3.1. 01:00:00;;1,110;1,110;
3.1. 02:00:00;;1,820;1,820;
3.1. 03:00:00;;4,820;4,820;
3.1. 04:00:00;;2,170;2,170;
3.1. 05:00:00;;1,660;1,660;
3.1. 06:00:00;;1,510;1,510;
3.1. 07:00:00;1,090;;1,090;
3.1. 08:00:00;1,090;;1,090;
3.1. 09:00:00;1,080;;1,080;
3.1. 10:00:00;1,090;;1,090;
3.1. 11:00:00;1,180;;1,180;
3.1. 12:00:00;1,050;;1,050;
3.1. 13:00:00;1,040;;1,040;
3.1. 14:00:00;1,320;;1,320;
3.1. 15:00:00;1,410;;1,410;
3.1. 16:00:00;2,150;;2,150;
3.1. 17:00:00;1,860;;1,860;
3.1. 18:00:00;1,090;;1,090;
3.1. 19:00:00;1,070;;1,070;
3.1. 20:00:00;1,350;;1,350;
3.1. 21:00:00;1,260;;1,260;
3.1. 22:00:00;;1,100;1,100;
3.1. 23:00:00;;1,500;1,500;
4.1. 00:00:00;;1,200;1,200;-0,1
4.1. 01:00:00;;1,200;1,200;
4.1. 02:00:00;;1,640;1,640;
4.1. 03:00:00;;4,590;4,590;
4.1. 04:00:00;;2,470;2,470;
4.1. 05:00:00;;2,030;2,030;
4.1. 06:00:00;;1,880;1,880;
4.1. 07:00:00;1,250;;1,250;
4.1. 08:00:00;1,460;;1,460;
4.1. 09:00:00;1,300;;1,300;
4.1. 10:00:00;1,300;;1,300;
4.1. 11:00:00;1,230;;1,230;
4.1. 12:00:00;1,050;;1,050;
4.1. 13:00:00;1,080;;1,080;
4.1. 14:00:00;1,280;;1,280;
4.1. 15:00:00;1,180;;1,180;
4.1. 16:00:00;1,850;;1,850;
4.1. 17:00:00;2,100;;2,100;
4.1. 18:00:00;1,920;;1,920;
4.1. 19:00:00;2,090;;2,090;
4.1. 20:00:00;2,580;;2,580;
4.1. 21:00:00;1,760;;1,760;
4.1. 22:00:00;;1,880;1,880;
4.1. 23:00:00;;2,470;2,470;
5.1. 00:00:00;;1,780;1,780;-3,2
5.1. 01:00:00;;1,580;1,580;
5.1. 02:00:00;;2,030;2,030;
5.1. 03:00:00;;5,820;5,820;
5.1. 04:00:00;;4,750;4,750;
5.1. 05:00:00;;3,430;3,430;
5.1. 06:00:00;;2,180;2,180;
5.1. 07:00:00;1,630;;1,630;
5.1. 08:00:00;1,690;;1,690;
5.1. 09:00:00;1,990;;1,990;
5.1. 10:00:00;2,100;;2,100;
5.1. 11:00:00;2,100;;2,100;
5.1. 12:00:00;1,860;;1,860;
5.1. 13:00:00;1,890;;1,890;
5.1. 14:00:00;1,790;;1,790;
5.1. 15:00:00;2,870;;2,870;
5.1. 16:00:00;2,940;;2,940;
5.1. 17:00:00;3,190;;3,190;
5.1. 18:00:00;2,400;;2,400;
5.1. 19:00:00;3,520;;3,520;
5.1. 20:00:00;2,750;;2,750;
5.1. 21:00:00;2,050;;2,050;
5.1. 22:00:00;;2,170;2,170;
5.1. 23:00:00;;2,270;2,270;
6.1. 00:00:00;;1,630;1,630;0,1
6.1. 01:00:00;;1,410;1,410;
6.1. 02:00:00;;2,330;2,330;
6.1. 03:00:00;;5,010;5,010;
6.1. 04:00:00;;3,110;3,110;
6.1. 05:00:00;;2,200;2,200;
6.1. 06:00:00;;1,910;1,910;
6.1. 07:00:00;1,360;;1,360;
6.1. 08:00:00;1,790;;1,790;
6.1. 09:00:00;1,660;;1,660;
6.1. 10:00:00;2,080;;2,080;
6.1. 11:00:00;4,200;;4,200;
6.1. 12:00:00;2,530;;2,530;
6.1. 13:00:00;2,040;;2,040;
6.1. 14:00:00;4,050;;4,050;
6.1. 15:00:00;3,550;;3,550;
6.1. 16:00:00;3,250;;3,250;
6.1. 17:00:00;2,330;;2,330;
6.1. 18:00:00;1,620;;1,620;
6.1. 19:00:00;1,800;;1,800;
6.1. 20:00:00;1,790;;1,790;
6.1. 21:00:00;1,510;;1,510;
6.1. 22:00:00;;1,610;1,610;
6.1. 23:00:00;;1,640;1,640;
7.1. 00:00:00;;1,100;1,100;3,3
7.1. 01:00:00;;1,050;1,050;
7.1. 02:00:00;;2,040;2,040;
7.1. 03:00:00;;4,760;4,760;
7.1. 04:00:00;;4,260;4,260;
