Time period;Average power, day;Average power, night;Average power;Temperature
20.1. 08:00:00;1,840;;1,840;
20.1. 09:00:00;2,050;;2,050;
20.1. 10:00:00;1,970;;1,970;
20.1. 11:00:00;1,900;;1,900;
20.1. 12:00:00;2,920;;2,920;
20.1. 13:00:00;1,930;;1,930;
20.1. 14:00:00;2,270;;2,270;
20.1. 15:00:00;2,550;;2,550;
20.1. 16:00:00;3,410;;3,410;
20.1. 17:00:00;3,290;;3,290;
20.1. 18:00:00;2,280;;2,280;
20.1. 19:00:00;2,210;;2,210;
20.1. 20:00:00;1,910;;1,910;
20.1. 21:00:00;2,110;;2,110;
20.1. 22:00:00;;1,790;1,790;
20.1. 23:00:00;;1,330;1,330;
21.1. 00:00:00;;1,980;1,980;-5,9
21.1. 01:00:00;;4,030;4,030;
21.1. 02:00:00;;6,590;6,590;
21.1. 03:00:00;;5,760;5,760;
21.1. 04:00:00;;2,960;2,960;
21.1. 05:00:00;;2,230;2,230;
21.1. 06:00:00;;2,100;2,100;
21.1. 07:00:00;1,910;;1,910;
21.1. 08:00:00;2,230;;2,230;
21.1. 09:00:00;2,220;;2,220;
21.1. 10:00:00;2,050;;2,050;
21.1. 11:00:00;1,940;;1,940;
21.1. 12:00:00;1,810;;1,810;
21.1. 13:00:00;2,190;;2,190;
21.1. 14:00:00;2,860;;2,860;
21.1. 15:00:00;3,180;;3,180;
21.1. 16:00:00;2,940;;2,940;
21.1. 17:00:00;2,260;;2,260;
21.1. 18:00:00;2,060;;2,060;
21.1. 19:00:00;2,540;;2,540;
21.1. 20:00:00;2,330;;2,330;
21.1. 21:00:00;3,180;;3,180;
21.1. 22:00:00;;2,260;2,260;
21.1. 23:00:00;;1,690;1,690;
22.1. 00:00:00;;1,600;1,600;-0,3
22.1. 01:00:00;;4,480;4,480;
22.1. 02:00:00;;6,020;6,020;
22.1. 03:00:00;;2,500;2,500;
22.1. 04:00:00;;2,580;2,580;
22.1. 05:00:00;;2,310;2,310;
22.1. 06:00:00;;2,020;2,020;
22.1. 07:00:00;2,480;;2,480;
22.1. 08:00:00;2,010;;2,010;
22.1. 09:00:00;1,770;;1,770;
22.1. 10:00:00;1,370;;1,370;
22.1. 11:00:00;1,900;;1,900;
22.1. 12:00:00;1,560;;1,560;
22.1. 13:00:00;2,070;;2,070;
22.1. 14:00:00;3,480;;3,480;
22.1. 15:00:00;2,980;;2,980;
22.1. 16:00:00;2,090;;2,090;
22.1. 17:00:00;2,010;;2,010;
22.1. 18:00:00;1,790;;1,790;
22.1. 19:00:00;1,860;;1,860;
22.1. 20:00:00;2,240;;2,240;
22.1. 21:00:00;2,780;;2,780;
22.1. 22:00:00;;1,710;1,710;
22.1. 23:00:00;;1,250;1,250;
23.1. 00:00:00;;1,350;1,350;2
23.1. 01:00:00;;3,580;3,580;
23.1. 02:00:00;;6,120;6,120;
23.1. 03:00:00;;3,820;3,820;
23.1. 04:00:00;;2,200;2,200;
23.1. 05:00:00;;1,490;1,490;
23.1. 06:00:00;;1,800;1,800;
23.1. 07:00:00;1,350;;1,350;
23.1. 08:00:00;1,620;;1,620;
23.1. 09:00:00;1,740;;1,740;
23.1. 10:00:00;1,620;;1,620;
23.1. 11:00:00;1,910;;1,910;
23.1. 12:00:00;3,190;;3,190;
23.1. 13:00:00;1,890;;1,890;
23.1. 14:00:00;1,460;;1,460;
23.1. 15:00:00;2,060;;2,060;
23.1. 16:00:00;2,220;;2,220;
23.1. 17:00:00;2,450;;2,450;
23.1. 18:00:00;3,240;;3,240;
23.1. 19:00:00;2,420;;2,420;
23.1. 20:00:00;2,250;;2,250;
23.1. 21:00:00;1,760;;1,760;
23.1. 22:00:00;;1,720;1,720;
23.1. 23:00:00;;1,460;1,460;
24.1. 00:00:00;;1,260;1,260;0,5
24.1. 01:00:00;;3,110;3,110;
24.1. 02:00:00;;5,970;5,970;
24.1. 03:00:00;;2,370;2,370;
24.1. 04:00:00;;1,980;1,980;
24.1. 05:00:00;;2,100;2,100;
24.1. 06:00:00;;2,060;2,060;
24.1. 07:00:00;1,460;;1,460;
24.1. 08:00:00;1,590;;1,590;
24.1. 09:00:00;1,910;;1,910;
24.1. 10:00:00;1,730;;1,730;
24.1. 11:00:00;1,570;;1,570;
24.1. 12:00:00;1,840;;1,840;
24.1. 13:00:00;1,700;;1,700;
24.1. 14:00:00;2,040;;2,040;
24.1. 15:00:00;3,230;;3,230;
24.1. 16:00:00;2,100;;2,100;
24.1. 17:00:00;1,750;;1,750;
24.1. 18:00:00;1,860;;1,860;
24.1. 19:00:00;1,520;;1,520;
24.1. 20:00:00;1,970;;1,970;
24.1. 21:00:00;2,210;;2,210;
24.1. 22:00:00;;1,420;1,420;
24.1. 23:00:00;;1,360;1,360;
25.1. 00:00:00;;1,490;1,490;0,4
25.1. 01:00:00;;3,730;3,730;
25.1. 02:00:00;;6,190;6,190;
25.1. 03:00:00;;5,200;5,200;
25.1. 04:00:00;;3,040;3,040;
25.1. 05:00:00;;1,580;1,580;
25.1. 06:00:00;;1,920;1,920;
25.1. 07:00:00;1,690;;1,690;
25.1. 08:00:00;1,700;;1,700;
25.1. 09:00:00;1,900;;1,900;
25.1. 10:00:00;1,510;;1,510;
25.1. 11:00:00;2,270;;2,270;
25.1. 12:00:00;2,650;;2,650;
25.1. 13:00:00;1,950;;1,950;
25.1. 14:00:00;2,370;;2,370;
25.1. 15:00:00;2,310;;2,310;
25.1. 16:00:00;2,100;;2,100;
25.1. 17:00:00;1,600;;1,600;
25.1. 18:00:00;1,610;;1,610;
25.1. 19:00:00;1,950;;1,950;
25.1. 20:00:00;2,240;;2,240;
25.1. 21:00:00;1,570;;1,570;
25.1. 22:00:00;;1,660;1,660;
25.1. 23:00:00;;1,520;1,520;
26.1. 00:00:00;;1,240;1,240;0,1
26.1. 01:00:00;;3,720;3,720;
26.1. 02:00:00;;6,380;6,380;
26.1. 03:00:00;;2,320;2,320;
26.1. 04:00:00;;2,350;2,350;
26.1. 05:00:00;;1,680;1,680;
26.1. 06:00:00;;1,850;1,850;
26.1. 07:00:00;2,350;;2,350;
26.1. 08:00:00;1,900;;1,900;
26.1. 09:00:00;1,580;;1,580;
26.1. 10:00:00;1,550;;1,550;
26.1. 11:00:00;1,780;;1,780;
26.1. 12:00:00;1,410;;1,410;
26.1. 13:00:00;1,490;;1,490;
26.1. 14:00:00;2,430;;2,430;
26.1. 15:00:00;2,310;;2,310;
26.1. 16:00:00;2,280;;2,280;
26.1. 17:00:00;2,560;;2,560;
26.1. 18:00:00;2,030;;2,030;
26.1. 19:00:00;1,980;;1,980;
26.1. 20:00:00;1,680;;1,680;
26.1. 21:00:00;2,190;;2,190;
26.1. 22:00:00;;1,470;1,470;
26.1. 23:00:00;;1,490;1,490;
27.1. 00:00:00;;1,510;1,510;-2,1
27.1. 01:00:00;;2,810;2,810;
27.1. 02:00:00;;5,740;5,740;
27.1. 03:00:00;;3,530;3,530;
27.1. 04:00:00;;2,090;2,090;
27.1. 05:00:00;;1,460;1,460;
27.1. 06:00:00;;2,180;2,180;
27.1. 07:00:00;1,550;;1,550;
27.1. 08:00:00;1,980;;1,980;
27.1. 09:00:00;2,590;;2,590;
27.1. 10:00:00;1,650;;1,650;
27.1. 11:00:00;3,020;;3,020;
27.1. 12:00:00;2,710;;2,710;
27.1. 13:00:00;1,670;;1,670;
27.1. 14:00:00;2,490;;2,490;
27.1. 15:00:00;2,060;;2,060;
27.1. 16:00:00;1,860;;1,860;
27.1. 17:00:00;3,660;;3,660;
27.1. 18:00:00;2,220;;2,220;
27.1. 19:00:00;2,180;;2,180;
27.1. 20:00:00;2,390;;2,390;
27.1. 21:00:00;2,510;;2,510;
27.1. 22:00:00;;1,720;1,720;
27.1. 23:00:00;;1,430;1,430;
28.1. 00:00:00;;1,390;1,390;-5,1
28.1. 01:00:00;;3,240;3,240;
28.1. 02:00:00;;5,940;5,940;
28.1. 03:00:00;;2,180;2,180;
28.1. 04:00:00;;2,810;2,810;
28.1. 05:00:00;;1,980;1,980;
28.1. 06:00:00;;1,660;1,660;
28.1. 07:00:00;2,020;;2,020;
28.1. 08:00:00;2,020;;2,020;
28.1. 09:00:00;1,880;;1,880;
28.1. 10:00:00;1,980;;1,980;
