Time period;Average power, day;Average power, night;Average power;Temperature
1.1. 00:00:00;;1,410;1,410;-0,4
1.1. 01:00:00;;3,310;3,310;
1.1. 02:00:00;;3,480;3,480;
1.1. 03:00:00;;2,890;2,890;
1.1. 04:00:00;;2,710;2,710;
1.1. 05:00:00;;2,580;2,580;
1.1. 06:00:00;;1,670;1,670;
1.1. 07:00:00;1,320;;1,320;
1.1. 08:00:00;1,920;;1,920;
1.1. 09:00:00;1,580;;1,580;
1.1. 10:00:00;1,520;;1,520;
1.1. 11:00:00;1,640;;1,640;
1.1. 12:00:00;1,340;;1,340;
1.1. 13:00:00;1,570;;1,570;
1.1. 14:00:00;2,050;;2,050;
1.1. 15:00:00;1,930;;1,930;
1.1. 16:00:00;2,040;;2,040;
1.1. 17:00:00;2,090;;2,090;
1.1. 18:00:00;1,480;;1,480;
1.1. 19:00:00;1,700;;1,700;
1.1. 20:00:00;1,770;;1,770;
1.1. 21:00:00;1,750;;1,750;
1.1. 22:00:00;;1,420;1,420;
1.1. 23:00:00;;1,860;1,860;
2.1. 00:00:00;;1,460;1,460;-1,9
2.1. 01:00:00;;3,460;3,460;
2.1. 02:00:00;;4,580;4,580;
2.1. 03:00:00;;2,900;2,900;
2.1. 04:00:00;;2,900;2,900;
2.1. 05:00:00;;2,580;2,580;
2.1. 06:00:00;;2,110;2,110;
2.1. 07:00:00;1,330;;1,330;
2.1. 08:00:00;1,940;;1,940;
2.1. 09:00:00;1,590;;1,590;
2.1. 10:00:00;1,410;;1,410;
2.1. 11:00:00;2,340;;2,340;
2.1. 12:00:00;1,810;;1,810;
2.1. 13:00:00;1,540;;1,540;
2.1. 14:00:00;2,380;;2,380;
2.1. 15:00:00;2,840;;2,840;
2.1. 16:00:00;2,060;;2,060;
2.1. 17:00:00;3,170;;3,170;
2.1. 18:00:00;2,060;;2,060;
2.1. 19:00:00;2,430;;2,430;
2.1. 20:00:00;3,150;;3,150;
2.1. 21:00:00;1,980;;1,980;
2.1. 22:00:00;;1,750;1,750;
2.1. 23:00:00;;2,010;2,010;
3.1. 00:00:00;;1,780;1,780;-3,6
3.1. 01:00:00;;3,530;3,530;
3.1. 02:00:00;;4,290;4,290;
3.1. 03:00:00;;2,890;2,890;
3.1. 04:00:00;;3,120;3,120;
3.1. 05:00:00;;2,570;2,570;
3.1. 06:00:00;;2,120;2,120;
3.1. 07:00:00;1,570;;1,570;
3.1. 08:00:00;1,900;;1,900;
3.1. 09:00:00;1,880;;1,880;
3.1. 10:00:00;1,480;;1,480;
3.1. 11:00:00;2,360;;2,360;
3.1. 12:00:00;1,680;;1,680;
3.1. 13:00:00;1,400;;1,400;
3.1. 14:00:00;2,020;;2,020;
3.1. 15:00:00;2,920;;2,920;
3.1. 16:00:00;2,480;;2,480;
3.1. 17:00:00;2,090;;2,090;
3.1. 18:00:00;3,000;;3,000;
3.1. 19:00:00;2,810;;2,810;
3.1. 20:00:00;2,330;;2,330;
3.1. 21:00:00;1,590;;1,590;
3.1. 22:00:00;;1,580;1,580;
3.1. 23:00:00;;2,100;2,100;
4.1. 00:00:00;;1,660;1,660;-3,8
4.1. 01:00:00;;3,660;3,660;
4.1. 02:00:00;;4,730;4,730;
4.1. 03:00:00;;2,880;2,880;
4.1. 04:00:00;;3,530;3,530;
4.1. 05:00:00;;2,730;2,730;
4.1. 06:00:00;;1,480;1,480;
4.1. 07:00:00;1,830;;1,830;
4.1. 08:00:00;1,990;;1,990;
4.1. 09:00:00;1,980;;1,980;
4.1. 10:00:00;2,160;;2,160;
4.1. 11:00:00;2,250;;2,250;
4.1. 12:00:00;1,950;;1,950;
4.1. 13:00:00;2,060;;2,060;
4.1. 14:00:00;2,640;;2,640;
4.1. 15:00:00;3,450;;3,450;
4.1. 16:00:00;2,540;;2,540;
4.1. 17:00:00;2,380;;2,380;
4.1. 18:00:00;2,110;;2,110;
4.1. 19:00:00;2,520;;2,520;
4.1. 20:00:00;1,970;;1,970;
4.1. 21:00:00;1,760;;1,760;
4.1. 22:00:00;;1,830;1,830;
4.1. 23:00:00;;2,020;2,020;
5.1. 00:00:00;;1,680;1,680;-5,7
5.1. 01:00:00;;3,990;3,990;
5.1. 02:00:00;;6,490;6,490;
5.1. 03:00:00;;5,400;5,400;
5.1. 04:00:00;;3,180;3,180;
5.1. 05:00:00;;2,580;2,580;
5.1. 06:00:00;;1,690;1,690;
5.1. 07:00:00;2,050;;2,050;
5.1. 08:00:00;2,280;;2,280;
5.1. 09:00:00;1,730;;1,730;
5.1. 10:00:00;2,500;;2,500;
5.1. 11:00:00;2,270;;2,270;
5.1. 12:00:00;2,610;;2,610;
5.1. 13:00:00;2,360;;2,360;
5.1. 14:00:00;2,540;;2,540;
5.1. 15:00:00;3,470;;3,470;
5.1. 16:00:00;4,050;;4,050;
5.1. 17:00:00;2,300;;2,300;
5.1. 18:00:00;1,740;;1,740;
5.1. 19:00:00;2,420;;2,420;
5.1. 20:00:00;1,980;;1,980;
5.1. 21:00:00;1,710;;1,710;
5.1. 22:00:00;;1,860;1,860;
5.1. 23:00:00;;2,110;2,110;
6.1. 00:00:00;;1,790;1,790;-5,1
6.1. 01:00:00;;4,450;4,450;
6.1. 02:00:00;;8,040;8,040;
6.1. 03:00:00;;4,130;4,130;
6.1. 04:00:00;;2,730;2,730;
6.1. 05:00:00;;2,040;2,040;
6.1. 06:00:00;;1,730;1,730;
6.1. 07:00:00;1,680;;1,680;
6.1. 08:00:00;2,110;;2,110;
6.1. 09:00:00;2,050;;2,050;
6.1. 10:00:00;1,990;;1,990;
6.1. 11:00:00;1,610;;1,610;
6.1. 12:00:00;2,160;;2,160;
6.1. 13:00:00;2,390;;2,390;
6.1. 14:00:00;2,980;;2,980;
6.1. 15:00:00;2,360;;2,360;
6.1. 16:00:00;3,060;;3,060;
6.1. 17:00:00;2,790;;2,790;
6.1. 18:00:00;2,980;;2,980;
6.1. 19:00:00;2,480;;2,480;
6.1. 20:00:00;2,140;;2,140;
6.1. 21:00:00;1,660;;1,660;
6.1. 22:00:00;;1,730;1,730;
6.1. 23:00:00;;1,540;1,540;
7.1. 00:00:00;;1,620;1,620;-3,4
7.1. 01:00:00;;4,130;4,130;
7.1. 02:00:00;;6,700;6,700;
7.1. 03:00:00;;3,680;3,680;
7.1. 04:00:00;;2,680;2,680;
7.1. 05:00:00;;2,090;2,090;
7.1. 06:00:00;;2,190;2,190;
7.1. 07:00:00;1,810;;1,810;
7.1. 08:00:00;2,120;;2,120;
7.1. 09:00:00;2,160;;2,160;
7.1. 10:00:00;1,600;;1,600;
7.1. 11:00:00;1,790;;1,790;
7.1. 12:00:00;1,840;;1,840;
7.1. 13:00:00;2,010;;2,010;
7.1. 14:00:00;2,920;;2,920;
7.1. 15:00:00;3,310;;3,310;
7.1. 16:00:00;2,280;;2,280;
7.1. 17:00:00;2,340;;2,340;
7.1. 18:00:00;2,580;;2,580;
7.1. 19:00:00;2,330;;2,330;
7.1. 20:00:00;2,080;;2,080;
7.1. 21:00:00;1,760;;1,760;
7.1. 22:00:00;;2,050;2,050;
7.1. 23:00:00;;1,870;1,870;
8.1. 00:00:00;;1,690;1,690;-4,8
8.1. 01:00:00;;3,500;3,500;
8.1. 02:00:00;;6,360;6,360;
8.1. 03:00:00;;4,720;4,720;
8.1. 04:00:00;;2,390;2,390;
8.1. 05:00:00;;1,930;1,930;
8.1. 06:00:00;;1,960;1,960;
8.1. 07:00:00;1,770;;1,770;
8.1. 08:00:00;2,070;;2,070;
8.1. 09:00:00;1,900;;1,900;
8.1. 10:00:00;1,860;;1,860;
8.1. 11:00:00;2,660;;2,660;
8.1. 12:00:00;5,070;;5,070;
8.1. 13:00:00;2,960;;2,960;
8.1. 14:00:00;3,830;;3,830;
8.1. 15:00:00;2,590;;2,590;
8.1. 16:00:00;3,850;;3,850;
8.1. 17:00:00;3,840;;3,840;
8.1. 18:00:00;2,620;;2,620;
8.1. 19:00:00;2,090;;2,090;
8.1. 20:00:00;2,150;;2,150;
8.1. 21:00:00;2,130;;2,130;
8.1. 22:00:00;;1,710;1,710;
8.1. 23:00:00;;1,540;1,540;
9.1. 00:00:00;;1,800;1,800;-7,7
9.1. 01:00:00;;3,320;3,320;
9.1. 02:00:00;;6,130;6,130;
9.1. 03:00:00;;2,970;2,970;
9.1. 04:00:00;;2,680;2,680;
9.1. 05:00:00;;1,840;1,840;
9.1. 06:00:00;;1,770;1,770;
9.1. 07:00:00;1,530;;1,530;
9.1. 08:00:00;1,660;;1,660;
9.1. 09:00:00;2,260;;2,260;
9.1. 10:00:00;2,590;;2,590;
9.1. 11:00:00;2,460;;2,460;
9.1. 12:00:00;1,950;;1,950;
9.1. 13:00:00;2,110;;2,110;
9.1. 14:00:00;2,940;;2,940;
9.1. 15:00:00;2,900;;2,900;
9.1. 16:00:00;4,010;;4,010;
9.1. 17:00:00;3,990;;3,990;
9.1. 18:00:00;3,300;;3,300;
9.1. 19:00:00;2,360;;2,360;
9.1. 20:00:00;2,410;;2,410;
9.1. 21:00:00;1,890;;1,890;
9.1. 22:00:00;;2,530;2,530;
9.1. 23:00:00;;2,470;2,470;
10.1. 00:00:00;;1,750;1,750;-7,5
10.1. 01:00:00;;4,720;4,720;
10.1. 02:00:00;;8,280;8,280;
10.1. 03:00:00;;5,010;5,010;
10.1. 04:00:00;;3,060;3,060;
10.1. 05:00:00;;2,550;2,550;
10.1. 06:00:00;;2,500;2,500;
10.1. 07:00:00;1,790;;1,790;
10.1. 08:00:00;2,790;;2,790;
10.1. 09:00:00;2,700;;2,700;
10.1. 10:00:00;2,800;;2,800;
10.1. 11:00:00;2,620;;2,620;
10.1. 12:00:00;2,600;;2,600;
10.1. 13:00:00;2,700;;2,700;
10.1. 14:00:00;2,520;;2,520;
10.1. 15:00:00;2,350;;2,350;
10.1. 16:00:00;2,310;;2,310;
10.1. 17:00:00;2,190;;2,190;
10.1. 18:00:00;1,900;;1,900;
10.1. 19:00:00;2,390;;2,390;
10.1. 20:00:00;2,160;;2,160;
10.1. 21:00:00;1,880;;1,880;
10.1. 22:00:00;;2,220;2,220;
10.1. 23:00:00;;1,970;1,970;
11.1. 00:00:00;;1,630;1,630;-1,3
11.1. 01:00:00;;4,180;4,180;
11.1. 02:00:00;;5,200;5,200;
11.1. 03:00:00;;2,730;2,730;
11.1. 04:00:00;;2,990;2,990;
11.1. 05:00:00;;2,060;2,060;
11.1. 06:00:00;;2,010;2,010;
11.1. 07:00:00;1,950;;1,950;
11.1. 08:00:00;1,950;;1,950;
11.1. 09:00:00;1,690;;1,690;
11.1. 10:00:00;1,950;;1,950;
11.1. 11:00:00;2,730;;2,730;
11.1. 12:00:00;1,450;;1,450;
11.1. 13:00:00;2,150;;2,150;
11.1. 14:00:00;3,360;;3,360;
11.1. 15:00:00;2,040;;2,040;
11.1. 16:00:00;4,040;;4,040;
11.1. 17:00:00;1,930;;1,930;
11.1. 18:00:00;1,490;;1,490;
11.1. 19:00:00;2,150;;2,150;
11.1. 20:00:00;1,920;;1,920;
11.1. 21:00:00;1,640;;1,640;
11.1. 22:00:00;;1,810;1,810;
11.1. 23:00:00;;1,380;1,380;
12.1. 00:00:00;;1,430;1,430;-2,9
12.1. 01:00:00;;3,600;3,600;
12.1. 02:00:00;;6,070;6,070;
12.1. 03:00:00;;3,980;3,980;
12.1. 04:00:00;;2,580;2,580;
12.1. 05:00:00;;1,670;1,670;
12.1. 06:00:00;;1,940;1,940;
12.1. 07:00:00;1,850;;1,850;
12.1. 08:00:00;1,790;;1,790;
12.1. 09:00:00;1,940;;1,940;
12.1. 10:00:00;1,570;;1,570;
12.1. 11:00:00;1,800;;1,800;
12.1. 12:00:00;2,060;;2,060;
12.1. 13:00:00;2,110;;2,110;
12.1. 14:00:00;2,470;;2,470;
12.1. 15:00:00;2,660;;2,660;
12.1. 16:00:00;3,160;;3,160;
12.1. 17:00:00;2,320;;2,320;
12.1. 18:00:00;2,560;;2,560;
12.1. 19:00:00;3,130;;3,130;
12.1. 20:00:00;2,360;;2,360;
12.1. 21:00:00;2,080;;2,080;
12.1. 22:00:00;;1,700;1,700;
12.1. 23:00:00;;1,800;1,800;
13.1. 00:00:00;;1,890;1,890;-9
13.1. 01:00:00;;4,050;4,050;
13.1. 02:00:00;;6,510;6,510;
13.1. 03:00:00;;2,970;2,970;
13.1. 04:00:00;;2,450;2,450;
13.1. 05:00:00;;2,110;2,110;
13.1. 06:00:00;;2,140;2,140;
13.1. 07:00:00;1,990;;1,990;
13.1. 08:00:00;2,170;;2,170;
13.1. 09:00:00;1,890;;1,890;
13.1. 10:00:00;2,120;;2,120;
13.1. 11:00:00;2,280;;2,280;
13.1. 12:00:00;2,260;;2,260;
13.1. 13:00:00;2,700;;2,700;
13.1. 14:00:00;3,240;;3,240;
13.1. 15:00:00;3,040;;3,040;
13.1. 16:00:00;2,740;;2,740;
13.1. 17:00:00;2,560;;2,560;
13.1. 18:00:00;2,850;;2,850;
13.1. 19:00:00;2,360;;2,360;
13.1. 20:00:00;2,480;;2,480;
13.1. 21:00:00;2,710;;2,710;
13.1. 22:00:00;;3,140;3,140;
13.1. 23:00:00;;1,980;1,980;
14.1. 00:00:00;;1,870;1,870;-17,3
14.1. 01:00:00;;5,260;5,260;
14.1. 02:00:00;;8,460;8,460;
14.1. 03:00:00;;5,580;5,580;
14.1. 04:00:00;;3,060;3,060;
14.1. 05:00:00;;2,810;2,810;
14.1. 06:00:00;;2,870;2,870;
14.1. 07:00:00;3,210;;3,210;
14.1. 08:00:00;2,830;;2,830;
14.1. 09:00:00;2,700;;2,700;
14.1. 10:00:00;2,390;;2,390;
14.1. 11:00:00;3,030;;3,030;
14.1. 12:00:00;4,620;;4,620;
14.1. 13:00:00;4,290;;4,290;
14.1. 14:00:00;5,760;;5,760;
14.1. 15:00:00;3,760;;3,760;
14.1. 16:00:00;2,850;;2,850;
14.1. 17:00:00;2,830;;2,830;
14.1. 18:00:00;2,980;;2,980;
14.1. 19:00:00;3,070;;3,070;
14.1. 20:00:00;3,080;;3,080;
14.1. 21:00:00;2,600;;2,600;
14.1. 22:00:00;;2,910;2,910;
14.1. 23:00:00;;2,810;2,810;
15.1. 00:00:00;;2,260;2,260;-19,3
15.1. 01:00:00;;5,770;5,770;
15.1. 02:00:00;;8,950;8,950;
15.1. 03:00:00;;5,720;5,720;
15.1. 04:00:00;;5,270;5,270;
15.1. 05:00:00;;4,150;4,150;
15.1. 06:00:00;;3,060;3,060;
15.1. 07:00:00;2,820;;2,820;
15.1. 08:00:00;3,010;;3,010;
15.1. 09:00:00;2,810;;2,810;
15.1. 10:00:00;3,120;;3,120;
15.1. 11:00:00;3,100;;3,100;
15.1. 12:00:00;3,250;;3,250;
15.1. 13:00:00;4,160;;4,160;
15.1. 14:00:00;4,500;;4,500;
15.1. 15:00:00;4,230;;4,230;
15.1. 16:00:00;4,800;;4,800;
15.1. 17:00:00;2,800;;2,800;
15.1. 18:00:00;2,800;;2,800;
15.1. 19:00:00;3,150;;3,150;
15.1. 20:00:00;2,390;;2,390;
15.1. 21:00:00;2,930;;2,930;
15.1. 22:00:00;;2,790;2,790;
15.1. 23:00:00;;2,200;2,200;
16.1. 00:00:00;;2,100;2,100;-15,9
16.1. 01:00:00;;4,920;4,920;
16.1. 02:00:00;;7,960;7,960;
16.1. 03:00:00;;5,590;5,590;
16.1. 04:00:00;;4,810;4,810;
16.1. 05:00:00;;4,060;4,060;
16.1. 06:00:00;;3,130;3,130;
16.1. 07:00:00;2,260;;2,260;
16.1. 08:00:00;2,260;;2,260;
16.1. 09:00:00;3,350;;3,350;
16.1. 10:00:00;3,790;;3,790;
16.1. 11:00:00;2,610;;2,610;
16.1. 12:00:00;2,820;;2,820;
16.1. 13:00:00;3,770;;3,770;
16.1. 14:00:00;3,270;;3,270;
16.1. 15:00:00;3,370;;3,370;
16.1. 16:00:00;3,610;;3,610;
16.1. 17:00:00;3,910;;3,910;
16.1. 18:00:00;4,410;;4,410;
16.1. 19:00:00;3,230;;3,230;
16.1. 20:00:00;2,610;;2,610;
16.1. 21:00:00;3,010;;3,010;
16.1. 22:00:00;;2,860;2,860;
16.1. 23:00:00;;2,590;2,590;
17.1. 00:00:00;;2,540;2,540;-10,2
17.1. 01:00:00;;5,440;5,440;
17.1. 02:00:00;;8,950;8,950;
17.1. 03:00:00;;6,560;6,560;
17.1. 04:00:00;;5,360;5,360;
17.1. 05:00:00;;3,940;3,940;
17.1. 06:00:00;;2,630;2,630;
17.1. 07:00:00;2,500;;2,500;
17.1. 08:00:00;2,440;;2,440;
17.1. 09:00:00;2,070;;2,070;
17.1. 10:00:00;2,930;;2,930;
17.1. 11:00:00;5,470;;5,470;
17.1. 12:00:00;3,430;;3,430;
17.1. 13:00:00;2,510;;2,510;
17.1. 14:00:00;3,200;;3,200;
17.1. 15:00:00;2,800;;2,800;
17.1. 16:00:00;2,200;;2,200;
17.1. 17:00:00;2,540;;2,540;
17.1. 18:00:00;3,160;;3,160;
17.1. 19:00:00;3,330;;3,330;
17.1. 20:00:00;2,820;;2,820;
17.1. 21:00:00;2,600;;2,600;
17.1. 22:00:00;;2,190;2,190;
17.1. 23:00:00;;1,450;1,450;
18.1. 00:00:00;;2,040;2,040;-7,4
18.1. 01:00:00;;4,810;4,810;
18.1. 02:00:00;;7,440;7,440;
18.1. 03:00:00;;5,110;5,110;
18.1. 04:00:00;;2,850;2,850;
18.1. 05:00:00;;2,180;2,180;
18.1. 06:00:00;;2,720;2,720;
18.1. 07:00:00;2,320;;2,320;
18.1. 08:00:00;2,870;;2,870;
18.1. 09:00:00;2,080;;2,080;
18.1. 10:00:00;2,300;;2,300;
18.1. 11:00:00;1,780;;1,780;
18.1. 12:00:00;2,300;;2,300;
18.1. 13:00:00;3,130;;3,130;
18.1. 14:00:00;4,050;;4,050;
18.1. 15:00:00;3,110;;3,110;
18.1. 16:00:00;2,540;;2,540;
18.1. 17:00:00;3,200;;3,200;
18.1. 18:00:00;1,820;;1,820;
18.1. 19:00:00;2,020;;2,020;
18.1. 20:00:00;2,190;;2,190;
18.1. 21:00:00;2,010;;2,010;
18.1. 22:00:00;;2,060;2,060;
18.1. 23:00:00;;1,980;1,980;
19.1. 00:00:00;;1,590;1,590;-1,7
19.1. 01:00:00;;4,560;4,560;
19.1. 02:00:00;;6,780;6,780;
19.1. 03:00:00;;5,480;5,480;
19.1. 04:00:00;;2,740;2,740;
19.1. 05:00:00;;2,240;2,240;
19.1. 06:00:00;;2,430;2,430;
19.1. 07:00:00;2,450;;2,450;
19.1. 08:00:00;2,130;;2,130;
19.1. 09:00:00;1,970;;1,970;
19.1. 10:00:00;1,830;;1,830;
19.1. 11:00:00;2,100;;2,100;
19.1. 12:00:00;1,990;;1,990;
19.1. 13:00:00;2,150;;2,150;
19.1. 14:00:00;2,320;;2,320;
19.1. 15:00:00;3,000;;3,000;
19.1. 16:00:00;2,490;;2,490;
19.1. 17:00:00;2,220;;2,220;
19.1. 18:00:00;2,640;;2,640;
19.1. 19:00:00;2,210;;2,210;
19.1. 20:00:00;1,880;;1,880;
19.1. 21:00:00;1,930;;1,930;
19.1. 22:00:00;;1,470;1,470;
19.1. 23:00:00;;1,220;1,220;
20.1. 00:00:00;;1,570;1,570;-4,3
20.1. 01:00:00;;3,420;3,420;
20.1. 02:00:00;;6,030;6,030;
20.1. 03:00:00;;2,360;2,360;
20.1. 04:00:00;;2,180;2,180;
20.1. 05:00:00;;1,470;1,470;
20.1. 06:00:00;;1,870;1,870;
20.1. 07:00:00;1,780;;1,780;
