Time period;Average power, day;Average power, night;Average power;Temperature
7.1. 05:00:00;;8,000;8,000;
7.1. 06:00:00;;6,970;6,970;
7.1. 07:00:00;5,730;;5,730;
7.1. 08:00:00;4,170;;4,170;
7.1. 09:00:00;3,770;;3,770;
7.1. 10:00:00;4,440;;4,440;
7.1. 11:00:00;4,540;;4,540;
7.1. 12:00:00;4,880;;4,880;
7.1. 13:00:00;5,400;;5,400;
7.1. 14:00:00;4,780;;4,780;
7.1. 15:00:00;5,240;;5,240;
7.1. 16:00:00;5,690;;5,690;
7.1. 17:00:00;5,130;;5,130;
7.1. 18:00:00;4,270;;4,270;
7.1. 19:00:00;4,220;;4,220;
7.1. 20:00:00;3,920;;3,920;
7.1. 21:00:00;5,010;;5,010;
7.1. 22:00:00;;8,170;8,170;
7.1. 23:00:00;;9,440;9,440;
8.1. 00:00:00;;8,410;8,410;-22,9
8.1. 01:00:00;;7,620;7,620;
8.1. 02:00:00;;7,630;7,630;
8.1. 03:00:00;;7,170;7,170;
8.1. 04:00:00;;8,060;8,060;
8.1. 05:00:00;;8,130;8,130;
8.1. 06:00:00;;7,110;7,110;
8.1. 07:00:00;6,170;;6,170;
8.1. 08:00:00;4,150;;4,150;
8.1. 09:00:00;4,050;;4,050;
8.1. 10:00:00;4,610;;4,610;
8.1. 11:00:00;4,800;;4,800;
8.1. 12:00:00;4,830;;4,830;
8.1. 13:00:00;5,360;;5,360;
8.1. 14:00:00;5,440;;5,440;
8.1. 15:00:00;4,740;;4,740;
8.1. 16:00:00;4,540;;4,540;
8.1. 17:00:00;4,210;;4,210;
8.1. 18:00:00;4,920;;4,920;
8.1. 19:00:00;4,950;;4,950;
8.1. 20:00:00;4,220;;4,220;
8.1. 21:00:00;3,380;;3,380;
8.1. 22:00:00;;7,130;7,130;
8.1. 23:00:00;;8,550;8,550;
9.1. 00:00:00;;7,640;7,640;-17,5
9.1. 01:00:00;;6,840;6,840;
9.1. 02:00:00;;6,210;6,210;
9.1. 03:00:00;;6,210;6,210;
9.1. 04:00:00;;6,050;6,050;
9.1. 05:00:00;;4,930;4,930;
9.1. 06:00:00;;3,460;3,460;
9.1. 07:00:00;3,240;;3,240;
9.1. 08:00:00;2,770;;2,770;
9.1. 09:00:00;2,950;;2,950;
9.1. 10:00:00;5,460;;5,460;
9.1. 11:00:00;5,980;;5,980;
9.1. 12:00:00;5,260;;5,260;
9.1. 13:00:00;4,580;;4,580;
9.1. 14:00:00;4,790;;4,790;
9.1. 15:00:00;4,010;;4,010;
9.1. 16:00:00;4,630;;4,630;
9.1. 17:00:00;3,790;;3,790;
9.1. 18:00:00;3,310;;3,310;
9.1. 19:00:00;4,000;;4,000;
9.1. 20:00:00;4,540;;4,540;
9.1. 21:00:00;4,000;;4,000;
9.1. 22:00:00;;6,740;6,740;
9.1. 23:00:00;;7,780;7,780;
10.1. 00:00:00;;6,970;6,970;-18,8
10.1. 01:00:00;;5,880;5,880;
10.1. 02:00:00;;6,380;6,380;
10.1. 03:00:00;;5,280;5,280;
10.1. 04:00:00;;5,370;5,370;
10.1. 05:00:00;;4,540;4,540;
10.1. 06:00:00;;4,710;4,710;
10.1. 07:00:00;4,170;;4,170;
10.1. 08:00:00;4,000;;4,000;
10.1. 09:00:00;5,170;;5,170;
10.1. 10:00:00;5,200;;5,200;
10.1. 11:00:00;6,060;;6,060;
10.1. 12:00:00;6,120;;6,120;
10.1. 13:00:00;4,200;;4,200;
10.1. 14:00:00;4,290;;4,290;
10.1. 15:00:00;6,600;;6,600;
10.1. 16:00:00;4,030;;4,030;
10.1. 17:00:00;5,390;;5,390;
10.1. 18:00:00;4,640;;4,640;
10.1. 19:00:00;4,750;;4,750;
10.1. 20:00:00;4,360;;4,360;
10.1. 21:00:00;4,120;;4,120;
10.1. 22:00:00;;7,200;7,200;
10.1. 23:00:00;;8,010;8,010;
11.1. 00:00:00;;6,710;6,710;-9,4
11.1. 01:00:00;;5,510;5,510;
11.1. 02:00:00;;5,990;5,990;
11.1. 03:00:00;;6,410;6,410;
11.1. 04:00:00;;5,600;5,600;
11.1. 05:00:00;;4,870;4,870;
11.1. 06:00:00;;5,570;5,570;
11.1. 07:00:00;4,500;;4,500;
11.1. 08:00:00;3,700;;3,700;
11.1. 09:00:00;2,520;;2,520;
11.1. 10:00:00;2,450;;2,450;
